Name,Value,Type
AO_slider,"1.00",float
ChangeAmount,"0.00",float
FrameTime,"63.60175",float
ShadowLightAttr,,float4[5]
ShadowLightAttr[0],"0.00, 0.00, 0.00, 0.00",float4
ShadowLightAttr[1],"1.00, 0.9098, 0.8314, 3.00",float4
ShadowLightAttr[2],"1.00, 0.9098, 0.8314, 1.00",float4
ShadowLightAttr[3],"0.30802, -0.44072, -0.84314, 0.001",float4
ShadowLightAttr[4],"1.00, 0.00, 0.00, 0.00",float4
adjust_inner0,"0.051, 0.0784, 0.102, 1.00",float4
alphaAmount,"0.64",float
black_height,"-0.02",float
burn_amount,"0.82",float
burn_color01,"0.3647, 0.2549, 1.00, 1.00",float4
burn_color02,"0.2784, 0.1333, 0.4039, 1.00",float4
burn_color03,"0.0196, 0.00, 0.1294, 1.00",float4
burn_line_width,"0.40",float
camera_pos,"123.50001, -26.41, 209.00002, 0.00",float4
colorUPAmount,"1.15",float
diffuse_intensity,"1.00",float
envSHB,,float4x4 (column_major)
envSHB.row0,"-0.00148, -0.00486, -0.02355, -0.02628",float4
envSHB.row1,"-0.00486, 0.00148, 0.06823, 0.16609",float4
envSHB.row2,"-0.02355, 0.06823, 0.06899, 0.1162",float4
envSHB.row3,"-0.02628, 0.16609, 0.1162, 0.3541",float4
envSHG,,float4x4 (column_major)
envSHG.row0,"0.02118, -0.00841, -0.05412, -0.04306",float4
envSHG.row1,"-0.00841, -0.02118, 0.0544, 0.08024",float4
envSHG.row2,"-0.05412, 0.0544, 0.1225, 0.12068",float4
envSHG.row3,"-0.04306, 0.08024, 0.12068, 0.27516",float4
envSHR,,float4x4 (column_major)
envSHR.row0,"0.03448, -0.01226, -0.08489, -0.05947",float4
envSHR.row1,"-0.01226, -0.03448, 0.05065, 0.04973",float4
envSHR.row2,"-0.08489, 0.05065, 0.1638, 0.13418",float4
envSHR.row3,"-0.05947, 0.04973, 0.13418, 0.23201",float4
env_shadow_factor,"0.667, 0.545, 0.761, 1.00",float4
envir_brightness,"1.00",float
envir_fresnel_brightness,"0.35",float
force_pixel_color,"0.00, 0.00, 0.00",float3
mask_intensity,"0.00",float
max_brightness,"130.00",float
max_ggx_roughness,"1.00",float
metal_multi,"0.00",float
min_ggx_roughness,"0.04",float
noise_density01,"1.31",float
noise_density02,"0.51",float
noise_intensity02,"0.08",float
noise_speed01,"0.18, -0.20",float2
noise_speed02,"0.10, -0.10",float2
rim_color0,"0.2902, 0.1451, 0.9333, 0.00",float4
rim_multi0,"0.45",float
rim_power0,"1.00",float
rough_multi,"0.00",float
shadow_bias_factor,"0.004, 0.001",float2
tortuosity_intensity01,"0.033",float
tortuosity_intensity02,"0.20",float
u_light_scale,"1.00",float
u_rim_end0,"0.93",float
u_rim_start0,"0.08",float
u_tonemapping_factor,"1.00",float
view_mat,,float4x4 (column_major)
view_mat.row0,"-1.00, 0.00, 0.00, 123.50002",float4
view_mat.row1,"0.00, 0.99986, -0.017, 29.95868",float4
view_mat.row2,"0.00, -0.017, -0.99986, 208.52092",float4
view_mat.row3,"0.00, 0.00, 0.00, 1.00",float4
